公告id	甲方	乙方	项目名称	合同名称	合同金额上限	合同金额下限	联合体成员
1098712	佛山市顺德区建设工程交易中心	广东水电二局股份有限公司	乐从镇北围园区市政基础设施建设项目		697673826	697673826	中国核电工程有限公司、佛山市萃芳园园艺工程有限公司、广东恒广源投资有限公司
1100511	挪威E6哈罗格兰德大桥项目部	四川公路桥梁建设集团有限公司	E6哈罗格兰德大桥钢结构合同项目		778822000.72	778822000.72	
1101527	广州建设工程交易中心	广东水电二局股份有限公司	广佛环线佛山西站至广州南站段站前工程施工总价承包项目		3285767252	3285767252	广东水电二局股份有限公司
1102379	陕西煤业化工集团神木天元化工有限公司	北京万邦达环保技术股份有限公司	中温煤焦油轻质化废水处理项目		800000	800000	
1104611	振发新能源科技有限公司	阳光电源股份有限公司		逆变器设备供货合同	156044000	156044000	
1106316	乌干达输电公司	中工国际工程股份有限公司		乌干达工业园区输变电项目商务合同	610852700	610852700	
1108684	呼和浩特市市政工程管理局	山东省路桥集团有限公司	呼和浩特市2013年市政工程施工招标(四)新建道路、桥梁工程(一标段)		423392138	423392138	
1112237		中国民生银行股份有限公司	北京商务中心区核心区Z4地块		2996000000	2996000000	
1113546	美国LEWISEQUIPMENT.CO.	湖南中联国际贸易有限责任公司		出口合同			
1115096		宏润建设集团股份有限公司	宁波市轨道交通2号线一期地下土建工程TJ2107标段(桃渡路站--通途路站区间、通途路站、通途路站--环城北路站区间、环城北路站、环城北路站--汽车市场站区间)的土建施工工程		437030000	437030000	
1119146	佛山市南海区铁路投资有限公司	北京易华录信息技术股份有限公司	南海区平东大道和长江路、泰山路、林岳大道建设工程BT项目及新型公共交通系统试验段(桂城至三山枢纽段)建设项目		100000000	100000000	中国建筑股份有限公司、中建交通建设集团有限公司、中国铁路通信信号股份有限公司
1121947	京沈铁路客运专线辽宁有限责任公司	晋亿实业股份有限公司			127337032.60	127337032.60	
1124129	美国Hospira公司	浙江医药股份有限公司		盐酸万古霉素原料药供应合同			
1124952	杭州市七格污水处理厂工程建设指挥部	腾达建设集团股份有限公司	杭州市七格污水处理厂工程建设指挥部的杭州市德胜东路(沪杭高速~文汇路)改造提升工程江干段03标工程		373594619	373594619	
1126214	防城港市港口区城市建设投资有限责任公司	浙江省围海建设集团股份有限公司	广西西南边境城市发展项目防城港市海堤建设子项目		145016382.64	145016382.64	
1126813	西兰铁路客运专线陕西有限责任公司	晋亿实业股份有限公司			184817600	184817600	
1129202	青岛加洲房地产开发有限公司	深圳市洪涛装饰股份有限公司					
1133278	茂名市城市综合管理局	东莞勤上光电股份有限公司	茂名市城区LED路灯节能改造服务采购项目		46200000	46200000	
1133787	国家电网公司	南京新联电子股份有限公司	国家电网公司2013年第二批电能表及用电信息采集设备招标采购		50447299	50447299	
1134023	国家电网公司	深圳市科陆电子科技股份有限公司	国家电网公司2013年第二批电能表(含用电信息采集)招标采购		195857900	195857900	
113576	郑州城建集团投资有限公司	宏润建设集团股份有限公司	郑州市南三环东延工程(南台路至107辅道)(南台路—经开第五大街)段施工三标段		222421500	222421500	
1136363	江西顺风光电投资有限公司	支付合同对方母公司江苏顺风光电科技有限公司		项目EPC合作协议	4190000000	4190000000	
1136780	国家税务总局	东港股份有限公司		增值税普通发票印制项目合同	120000000	120000000	
1136909	中国机械进出口(集团)有限公司	唐山轨道客车有限责任公司		地铁车辆供货合同	7331999999	7331999999	
1137512	海外客户TECNOSUMAINTERNATIONALS.A.	三诺生物传感股份有限公司		委内瑞拉市场OEM产品主合同	48103000	48103000	
1139239	莫桑比克农业部邵奎水务公司	中工国际工程股份有限公司		莫桑比克邵奎灌溉机械化和农场现代化(南区)项目商务合同	484396100	484396100	
1150381	辽宁省交通厅	辽宁路翔交通技术有限公司		2010年度沥青采购供应委托代理合同	450000000	450000000	
1153240	大唐四格风电项目筹建处	广西银河艾万迪斯风力发电有限公司	贵州盘县四格风电场一期工程风力发电机组招标项目				
1153254	衡阳市城市建设投资有限公司	深圳市铁汉生态环境股份有限公司		衡阳市蒸水北堤风光带工程项目BT投融资项目合同	360000000	360000000	
1154417		山东省路桥集团有限公司	呼和浩特市2013年市政工程施工招标(四)新建道路、桥梁工程(一标段)		423392138	423392138	
1164652	温州市瓯江口开发建设投资集团有限公司	浙江省围海建设集团股份有限公司	温州浅滩二期(南堤)促淤堤工程施工Ⅰ标段		295072298	295072298	
1165003	俄罗斯航空零件公开股份公司	北方国际合作股份有限公司		建设航空零件公开股份公司商用汽车组装厂的承包合同协议书			
116886		山东省高速路桥养护有限公司	2015年山东高速养护维修工程项目		597322004.05	597322004.05	
1173766	山东省莱阳市人民政府	盾安(天津)节能系统有限公司		莱阳市可再生能源城市集中供热合同	500000000	500000000	
1173867	三明永宁高速公路有限责任公司	福建新大陆电脑股份有限公司	国家高速公路网泉南线福建省永安至宁化(闽赣界)高速公路机电工程ED1合同段		55949669	55949669	
1177455	中国移动通信集团广东有限公司	北京神州泰岳软件股份有限公司		飞信系统技术实施与支撑合同	324468700	324468700	
1181524		上海建工集团股份有限公司	上海市静安区40号、46号街坊大中里综合发展项目地下室部分总承包施工工程		1068200537	1068200537	
1185773		卧龙电气集团股份有限公司	大西铁路客运专线(大同至西安)四电集成工程自购物资采购招标BD-02和BD-04包件		95414300	95414300	
1188804	上海浦东工程建设管理有限公司	腾达建设集团股份有限公司	中环线浦东段(军工路越江隧道—高科中路)新建工程4标工程		231322959	231322959	
1189238	中国南方电网有限责任公司	宁波三星电气股份有限公司	中国南方电网有限责任公司2011年一级物资集中采购电表类第11-3-1批项目		115042900	115042900	
1196494	兰州市城市发展投资有限公司	宏润建设集团股份有限公司		兰州市深安大桥工程BT投资建设意向协议书	650000000	650000000	
12000946		上海隧道工程股份有限公司	印度孟买三号线1标和7标工程				Larsen&ToubroLimited、拉森集团
12001157	浩特市机场与铁路建设管理办公室	中国中铁股份有限公司	呼和浩特市轨道交通1号线一期工程PPP项目		14680000000	14680000000	
12028232	六盘水市公安局交通警察支队	佳都新太科技股份有限公司	六盘水市中心城区交通信号灯和停车导流诱导牌及城区监控及电子警察工程(EPC)		33504699	33504699	
12040452	中国电力建设股份有限公司	浙富控股集团股份有限公司	老挝南欧江一级水电站工程4X46.2MW灯泡贯流式水轮发电机组及其附属设备采购项目		122000000	122000000	
1205146	保定市南水北调工程建设委员会办公室	新疆国统管道股份有限公司	河北省南水北调配套工程保沧干渠工程保定段PCCP管道制造第五标段		208462372	208462372	
12052202	海口市园林管理局	棕榈生态城镇发展股份有限公司	海口市国兴大道等5条道路景观提升工程PPP项目				
12056011	越南老街2万吨铜冶炼厂	中国有色金属建设股份有限公司		越南老街铜冶炼扩建项目合同			
1206976	京沪高速铁路股份有限公司	北京东方雨虹防水技术股份有限公司	新建京沪高速铁路工程桥面防水层材料采购招标项目		192136954.95	192136954.95	
1208640		浙江东南网架股份有限公司	新建京沪高速铁路上海虹桥铁路客站工程钢构件制品采购(GGJ-S-2包件)工程	上海虹桥综合交通中心工程地铁西站地下部分钢结构制作分包合同	174307216	174307216	
1209456	中材科技风电叶片股份有限公司	新疆金风科技股份有限公司		风力发电机叶片供货变更合同	630000000	630000000	
1220219	委内瑞拉国家电力公司	中工国际工程股份有限公司	委内瑞拉托库玛-乌里邦特输变电工程项目	委内瑞拉托库玛-乌里邦特输变电工程项目(一期)商务合同	1618789900	1618789900	
1220679	温州龙达围垦开发建设有限公司	浙江省围海建设集团股份有限公司	温州市龙湾二期围涂工程施工2标		415133300	415133300	
1226405	杭州市城市基础设施建设发展中心	腾达建设集团股份有限公司	杭州延安路(体育场路—吴山广场)整治工程02标		112113539	112113539	
1228344	郴州高科投资控股有限公司	深圳市铁汉生态环境股份有限公司	郴州出口加工区(有色金属产业园)林邑生态公园及配套工程	林邑公园、西河带状公园及生态治理BT融资建设工程合同	197839778.33	197839778.33	郴州市平背建筑有限公司
1228748	陕西悄长中煤榆林能源化工有限公司	中国化恘工程股份有限公司					
1230740	印度尼西亚PTCemindoGemilang公司	中国中材国际工程股份有限公司					
1230757	石林工业开发投资有限公司	云南绿大地生物科技股份有限公司	石林县生态工业集中区清香湖片区巴江河沿线景观治理工程一期BT建设项目		38368488.65	38368488.65	
1231168		宏润建设集团股份有限公司	上海新建万源城C街坊商品住宅及幼儿园项目2标段工程		837780000	837780000	
1236397	成都市交通投资集团有限公司	成都市路桥经营管理有限责任公司	成都市中心城区缓堵保畅“两快两射两环”项目二环路东段改造工程“施工图设计—采购—施工”总承包EPC1合同段	成都市三环路路面维护整治工程LM3标段施工合同	107664900	107664900	四川省交通运输厅公路规划勘察设计研究院
1236964		浙江阳光集团股份有限公司	高效照明产品推广项目				
1238220	越南国际商贸及投资建筑股份有限公司	广东水电二局股份有限公司		越南社会主义共和国占化水电站设计、供货和施工合同			中国广西电力工业勘察设计研究院
1238918		宏润建设集团股份有限公司	西安市地铁一号线后卫寨至汉城路段土建施工D1TJSG—4标段		235190000	235190000	
1239697	宁波市象山县公共资源交易工作管理委员会办公室	宁波建工股份有限公司	宁波紫象天堂皇冠假日酒店建设项目		366204982	366204982	
1240733	乌海华油天然气有限责任公司	中国化恘工程股份有限公司	了乌海市海勃湾区千里山LNG项目	工程承包合同			
1240733	蓝星安迪苏南京有限公司	中国化恘工程股份有限公司	蓝星安迪苏南京有限公司AT88项目基础设施和公用工程	工程承包合同			
1240733	新疆大全新能源有限公司	中国化恘工程股份有限公司	新疆大全新能源有限公司年产250MW多晶硅片及配套项目	工程承包合同			
1240733	新疆圣怮能源开发有限工程公司	中国化恘工程股份有限公司	新疆圣怮50万吨/年PVC项目(惊)建筑安装工程	工程承包合同			
1240774	黑龙江省前嫩公路工程建设指挥部	龙建路桥股份有限公司	前锋农场至嫩江公路伊春至嫩江段B6标段		95999645	95999645	
1241555	成都市金牛区建设和交通局	成都市路桥工程股份有限公司	交大路下穿金府路隧道建设工程项目勘察、设计、施工总承包		150000000	150000000	四川西南交大土木工程设计有限公司、四川西都交通配套设施有限责任公司
1243842	中国银行股份有限公司	广州广电运通金融电子股份有限公司		中国银行自助银行设备采购合同	200000000	200000000	
125057		上海建工股份有限公司	上海市轨道交通10号线吴中路停车场二期工程		454308477	454308477	
1251753		上海市第七建筑有限公司	天津市津湾广场7、8号楼工程		1947200119	1947200119	
1253451		浙江浙大网新众合轨道交通工程有限公司	天津地铁2、3号线AFC系统——清分中心系统、相关设备采购及其服务项目		49289916	49289916	上海华虹计通智能卡系统有限公司
1253855	深圳市平湖股份合作公司	深圳星苑物业管理服务有限公司		房地产租赁合同	2000000	2000000	
1254691	宜良县南盘江景观打造暨综合治理建设指挥部	云南绿大地生物科技股份有限公司	宜良县南盘江西岸一期景观工程		64201650	64201650	
1255068		上海建工集团股份有限公司	上海申迪建设有限公司发包的川沙A-1地块场地形成工程		635253188	635253188	
1256009	中材汉江水泥股份有限公司	天津水泥工业设计研究院有限公司			315000000	315000000	
12572	昆明滇池投资有限责任公司	深圳市铁汉生态环境股份有限公司	晋宁东大河片区湿地公园生态建设子项目工程总承包(BT+施工总承包)项目		279000000	279000000	
125880	哈尔滨市城市建设投资集团有限公司	龙建路桥股份有限公司	哈尔滨市道外松花江大桥工程(第二标段)		669009373.91	669009373.91	
1265288	伊朗南方铝业公司	中国有色金属建设股份有限公司		伊朗南方铝业公司电解铝项目二期EPC总承包合同	7179153310	7179153310	
126547	喜马偕尔帮	龙建路桥股份有限公司					
1265505	国家电网公司	深圳浩宁达仪表股份有限公司	国家电网公司2012年第四批电能表(含用电信息采集)招标采购		117965200	117965200	
1265532	湛江市代建项目管理局	湛江慧锐投资有限公司	湛江市海东新区岸线和滩涂综合治理工程BT建设项目(第一标段)		840000000	840000000	
1267627	杭州锅炉集团股份有限公司	浙江西子联合工程有限公司		乐平矿务局北部矿区煤矸石综合利用电厂工程总承包合同	516000000	516000000	
1272344	台州市路桥区交通投资有限公司	腾达建设集团股份有限公司	75省道南延椒江二桥至温岭松门段工程路桥段第三合同段(路面工程)		72918183	72918183	
1274383	海南文盛新材料科技有限公司	澳大利亚铭瑞锆业有限公司		铭瑞锆业产品销售协议	117150000	117150000	
1277275	中国建筑股份有限公司	深圳市三鑫幕墙工程有限公司	鄂尔多斯那达慕运动场项目幕墙系统制作安装分包工程	鄂尔多斯那达慕运动场项目幕墙系统制作安装分包合同	101070000	101070000	
1278365	国家电网公司	青岛东方铁塔股份有限公司		皖电东送淮南至上海特高压交流输电示范工程一般线路工程钢管塔采购合同	352042500	352042500	
128423	龙岩铁路有限责任公司	中铁二局股份有限公司	新建龙岩至厦门铁路全线制梁和铺轨、架梁(LX-V标段)施工项目		702154378	702154378	
1286288	国家电网公司	深圳市科陆电子科技股份有限公司	国家电网公司集中规模招标采购2010年电能表第三批项目电能表招标				
128869	京沈铁路客运专线(辽宁)公司	中铁十九局集团有限公司	新建盘锦至愗口铁路客运专线工程第2标段		3886088300	3886088300	
1290128	锦州世园建设管理有限公司	北京东方利禾景观设计有限公司	中国锦州世界园林博览会景观设计项目	2013中国锦州世界园林博览会景观设计服务合同	28850000	28850000	
1290850	国家电网公司	深圳市科陆电子科技股份有限公司	国家电网公司集中规模招标采购2010年智能电能表第一批项目				
1293166	国家电网公司重庆市电力公司	南京新联电子股份有限公司	重庆市电力公司2012年主要设备材料第一批协议库存项目		51760000	51760000	
1295768	国家电网公司	深圳市科陆电子科技股份有限公司	国家电网公司集中规模招标采购2011年电能表(含采集设备)第五批项目		160854000	160854000	
1300922	宁波天琪电子有限公司	天津市环欧半导体材料技术有限公司		太阳能单晶硅供应-采购长期合同	230399999	230399999	
1309403	广州市市政园林工程管理中心	东莞勤上光电股份有限公司	广州乡镇路灯建设二期工程路灯成套设备采购及相关服务标段		28897905	28897905	
1311563	苏州市住房和城乡建设局	深圳键桥通讯技术股份有限公司	苏州市轨道交通2号线工程警用通信系统采购项目		90000998	90000998	
1312947	上海通贸国际供应链管理有限公司	深圳市卓翼科技股份有限公司		出口合作协议	62412000	62412000	
1317870	中煤陕西榆林能源化工有限公司	北京万邦达环保技术股份有限公司	中煤榆林公司甲醇醋酸系列深加工及综合利用项目一期(Ⅰ)工程污水、回用水及脱盐水装置EPC总承包	中煤陕西榆林能源化工有限公司甲醇醋酸系列深加工及综合利用项目一期(Ⅰ)工程污水、回用水及脱盐水装置EPC总承包合同	513000000	513000000	
1323662		龙建路桥股份有限公司	国家高速公路网十堰至天水联络线(G7011)陕西境鄂陕界至安康高速公路路面工程施工AD-M03标段		257723273	257723273	
1324248		安徽水利开发股份有限公司	渭河下游咸阳市泾渭新区段综合治理工程(BT方式)				
132552	安微省蚌埠市禹会区人民政府	浙大网新科技股份有限公司	安徽省蚌埠市禹会区智慧城市建设项目	安徽省蚌埠市禹会区智慧城市建设总承包合同	1000000000	1000000000	
1326435	中国机械工业成套工程总公司	北新房屋有限公司		赞比亚房建工程项目供货合同	663962570	663962570	
1330655	山东电力集团公司	积成电子股份有限公司	山东电力集团公司2012年第三批设备材料招标采购项目		50980000	50980000	
1338851		云南绿大地生物科技股份有限公司	石林县生态工业集中区清香湖片区巴江河沿线景观治理工程一期BT建设项目		38368488.65	38368488.65	
1339728	孟加拉化学工业公司	中成进出口股份有限公司		孟加拉国沙迦拉化肥厂项目合同	1600000000	1600000000	
1341685	国家电网公司	深圳浩宁达仪表股份有限公司	国家电网公司2012年第二批电能表(含用电信息采集)招标采购		221000000	221000000	
1352451	上海市浦东新区人民政府	上海北通投资发展有限公司			10633000000	10633000000	
1353491	四川省有线广播电视网络股份有限公司	成都金亚科技股份有限公司	EOC独立式终端设备供应商入围资格招标项目		400000000	400000000	
1369894	中国人民解放军总后勤部军需物资油料部军需军事代表局	江苏庞贝制衣有限公司		工业品买卖合同	1913464	1913464	
1374769	成都中铁二局铁达物资有限公司	四川金顶(集团)股份有限公司		水泥买卖合同	68000000	68000000	
1378405		宏润建设集团股份有限公司	上海市虹桥综合交通枢纽内快速集散系统工程4标段、市政道路及配套工程4标段		253980000	253980000	
1379574	马达加斯加能源矿产部	中工国际工程股份有限公司	马达加斯加安布迪鲁卡水电站项目	马达加斯加安布迪鲁卡水电站项目一期工程商务合同	976460000	976460000	
1384575	绵阳市城市重点工程建设指挥部	江苏维尔利环保科技股份有限公司	绵阳市楼房村垃圾填埋场渗滤液处理工程项目		20175900	20175900	
138516	国家电网公司	江苏林洋电子股份有限公司	国家电网公司2013年第一批电能表(含用电信息采集)招标采购		264246699	264246699	
1389499	大唐国际发电股份有限公司内蒙古分公司	湘潭电机股份有限公司		内蒙古大唐国际察右旗红牧风场一期工程2MW直驱式永磁风力发电机组采购合同	307000000	307000000	
1394611	老挝人民民主共和国政府	海南椰岛(集团)股份有限公司					
14045230	中国铁塔股份有限公司广东省分公司	广东怡创科技股份有限公司	广东铁塔公司2016-2018年通信基站(含室分)综合维护、发电服务及共享改造服务项目		1603510000	1603510000	
1406084	陕西省商南县医院	深圳市尚荣医疗股份有限公司		陕西省商南县医院整体迁建项目融资代建建设合同	200000000	200000000	
140637	联投集团	湖北省路桥集团有限公司		借款协议	680000000	680000000	
14167594	上海市土地储备中心	华东建筑集团股份有限公司	横沙东滩圈围(八期)工程”勘察设计施工总承包项目		54030000	54030000	
14210139		深圳华侨城股份有限公司	深圳国际会展中心(一期)及配套用地项目				招商局蛇口工业区控股股份有限公司
14210454	兴义市电力有限责任公司	北京恒华伟业科技股份有限公司	黔西南州兴义市城市配电网建设与改造项目(EPC)	黔西南州兴义市城市配电网建设与改造项目设计、采购、施工EPC总承包合同	552000000	552000000	
14211738	上海松江有轨电车投资运营有限公司	上海华铭智能终端设备股份有限公司	松江现代有轨电车示范线工程票务系统及站台安全门系统设备集成采购项目	松江现代有轨电车示范线工程票务系统及站台安全门系统设备集成采购项目合同书	71023090	71023090	
14211837	国家电网公司	河南平高电气股份有限公司	组合电器”包2和包3		1300564500	1300564500	
14232592	卢龙县环境保护局	天津市滨海水业集团有限公司	卢龙县水处理及其他市政工程PPP项目				嘉诚环保工程有限公司、嘉诚环保”)
1424188		中国水利水电第十三工程局有限公司			1317000000	1317000000	
1427567	尼日利亚DangoteIndustriesLimited	中国中材国际工程股份有限公司		合作框架协议			
143095	台州市路桥区交通投资有限公司	腾达建设集团股份有限公司	路桥机场至温岭新河公路改建工程(路桥段)		80656094	80656094	
1431184		上海隧道工程股份有限公司	新加坡海滨金沙综合休闲度假区总承包合约8402标Bayfront基础设施建设工程				
1435107	国家电网公司	宁波三星电气股份有限公司	国家电网公司集中规模招标采购2011年电能表第五批项目		338979900	338979900	
1435795	四川省通江县人民医院	深圳市尚荣医疗股份有限公司	牡丹江市第二人民医院异址新建BT模式融资代建项目	四川省通江县人民医院灾后重建项目融资代建建设合同书	200000000	200000000	
1438260		中国葛洲坝集团股份有限公司			345900000	345900000	
14429	吉视传媒股份有限公司	江苏银河电子股份有限公司		高清机顶盒采购合同	61800000	61800000	
14466580		四川路桥建设集团股份有限公司			626000000	626000000	
144768	昆明轨道交通有限公司	上海隧道工程股份有限公司	云南省昆明市轨道交通2号线二期工程BT项目		3000000000	3000000000	
1447836	兰新铁路甘青有限公司	中铁十八局集团有限公司	新建兰新铁路第二双线兰州至西宁段站前工程LXS-2标段				中铁十四局集团有限公司第五工程有限公司
1452447	湖北省郧县至十堰高速公路建设指挥部	路桥华南工程有限公司	湖北省郧县(鄂豫省界)至十堰高速公路一期土建工程第08合同段施工工程		373121991	373121991	
1453221		龙元建设集团股份有限公司	XDG-2006-78号地块二期工程		207735179	207735179	
145524	中国电力工程有限公司	中国水电建设集团国际工程有限公司	尼日利亚宗格鲁水电站EPC项目				中国电力工程有限公司
1456320	中国铁路建设投资公司	中国北车集团大连机车车辆有限公司	了C70E型通用敞车		7272000000	7272000000	
1460752	中华人民共和国铁道部北京铁路局	南车戚墅堰机车有限公司		HXN5型大功率内燃机车销售合同	5300000000	5300000000	
14666243	中华人民共和国天津出入境边防检查站	天海融合防务装备技术股份有限公司		天津边检站边检巡逻艇工程设计、采购、建造总承包合同	45987000	45987000	
14670157	蒙古国矿产石油局	潜能恒信能源技术股份有限公司		Ergel-12合同区产品分成合同			
146712	国家电网公司	江苏林洋电子股份有限公司	国家电网公司2012年第四批电能表(含用电信息采集)		246939199	246939199	
1474105	新华信托投资股份有限公司	青岛澳柯玛股份有限公司		资金信托合同	180000000	180000000	
14757238	天镇县洁安城市保洁有限责任公司	浙江博世华环保科技有限公司	天镇县县城生活垃圾卫生填埋场设计施工总承包工程	天镇县县城生活垃圾卫生填埋场设计施工总承包合同	42800000	42800000	
14761678	宁夏水利工程建设管理局	宁夏青龙管业股份有限公司	盐环定扬黄共用工程一至七泵站更新改造、盐环定扬黄共用工程八至十二泵站更新改造、盐环定扬黄工程共用干渠和宁夏专用工程改造混凝土压力管道采购		198967390	198967390	
14765115	吉林市城乡建设委员会	森远路桥股份有限公司	吉林市地下综合管廊政府与社会资本合作(PPP)项目【江南和东部区域管廊建设项目一标段】				吉林市市政建设集团有限公司
14765704		广西博世科环保科技股份有限公司	钟ft县镇级污水处理设施建设工程施工总承包项目		110000000	110000000	湖南大学设计研究院有限公司
14771376	柬埔寨石油化工有限公司	兰州兰石重型装备股份有限公司			620000000	620000000	
14781267	铜陵市住房和城乡建设委员会	安徽国祯环保节能科技股份有限公司	铜陵市黑砂河流域水系治理工程项目	铜陵市黑砂河流域水系治理工程EPC合同	102011057	102011057	
14785118	临朐县扶贫开发领导小组办公室	易事特集团股份有限公司	临朐县光伏扶贫发电BOT项目				
14787450	广东省韶关市政府投资建设项目代建管理局	新疆北新路桥集团股份有限公司	S248线韶关市区过境段黄金村大桥至韶关钢铁厂公路改线工程二期(大学路—韶关钢铁厂段)二标段施工(BT)		212093709.53	212093709.53	
14787483	海口市园林管理局	北京东方园林生态股份有限公司	海口市金牛岭公园等3个公园建设工程PPP项目		602672400	602672400	
14787614	福建省诏安县人民政府	兴源环境科技股份有限公司	诏安县城市供排水工程PPP项目	诏安县人民政府兴源环境科技股份有限公司投资合作框架协议	1118868000	1118868000	
14788118	广西壮族自治区卫生和计划生育委员会	湖南长信畅中科技股份有限公司	广西壮族自治区基层医疗卫生机构管理信息系统建设项目		140247300	140247300	湖北凯乐科技股份有限公司、湖南长信畅中科技股份有限公司
14788956		中国铁建股份有限公司	巫家坝土桥片区土地一级开发整理项目		15000000000	15000000000	
14792555	南京市江北新区公共工程建设中心	中国铁建股份有限公司	南京市江北新区综合管廊二期工程PPP项目				中铁十七局集团有限公司
1481993	新疆华冉东方新能源有限公司	国电南京自动化股份有限公司	新疆华冉东方哈密东南部200MW风电场工程	新疆华冉东方哈密东南部200MW风电项目工程总承包合同	1760000000	1760000000	
1483742	琼海土石方工程有限公司	海南美都置业有限公司		土地使用权转让合同			
14873136	宣城市住房和城乡建设委员会	龙元建设集团股份有限公司	宣城市阳德路道路建设工程PPP项目		1240345891	1240345891	
14877	山东电力集团公司	沈阳新松机器人自动化股份有限公司	山东中心智能化仓储系统项目		42453800	42453800	
1489071	中国天辰化学工程公司	新疆独山子天利高新技术股份有限公司		7.5万吨/年己二酸工程总承包合同	999800000	999800000	
149254		中国铁建股份有限公司	珠海市西部中心城区首期开发区域(B片区)基础设施工程合作开发项目		9848000000	9848000000	
14944349	泰州市虹桥园工业开发有限公司	青岛东方铁塔股份有限公司		委托代建合作协议	91390000	91390000	
14945351	广东省南雄市人民医院	珠海和佳医疗设备股份有限公司		南雄市人民医院综合住院大楼PPP项目合同			
1496413	雪佛龙澳大利亚公司	海洋石油工程股份有限公司		GorgonLNG工厂工艺模块建造项目合同			
1497076	沙特阿拉伯HailCementCompany	成都建筑材料工业设计研究院有限公司					
1500069	仁寿县人民政府	四川蜀工高速公路机械化工程有限公司			712210000	712210000	
15032048	拉萨市城市建设投资经营有限公司	龙建路桥股份有限公司	拉萨市柳梧新区邦嘎隧道(北中组团隧道)EPC(勘察设计、采购、施工)总承包工程		999887648	999887648	中设设计集团股份有限公司
1504837	靖江市敦丰拆船有限公司	轮废钢船买卖合同中海(海南)海盛船务股份有限公司		“东山岭”轮废钢船买卖合同	15000000	15000000	
1511739	上海源江置业发展有限公司	上海众孚房地产经纪有限公司		商品房代理销售合同			
1512797	陕西煤业集团公司	华能国际电力股份有限公司		中长期煤炭购销合同			
1517913	安微省宣城市国土资源局	美都控股股份有限公司		国有土地使用权出让合同	115818799	115818799	
1528293	德国海德堡水泥集团之子公司TananiaPorlandCementCompanyLtd	中材建设有限公司					
15307099	西安市地下铁道有限责任公司	宏润建设集团股份有限公司	西安市地铁6号线二期工程(劳动南路站~纺织城站)土建施工项目		229515200	229515200	
153085		宁波三星电气股份有限公司	中国南方电网有限责任公司2012年下半年电能表类设备框架招标项目		28000000	28000000	
15319207	北京求实工程管理有限公司云南分公司	北京佳讯飞鸿电气股份有限公司	昆明综合保税区信息化系统建设(一期)项目		74605257	74605257	
15319375	兰州长征机械有限公司	北京首航艾启威节能技术股份有限公司		宁夏电投西夏热电厂二期2×350MW热电联产项目间接空冷管束、百叶窗设备订货合同	45980000	45980000	
15319448	内蒙古京能双欣发电有限公司	北京首航艾启威节能技术股份有限公司		内蒙古京能双欣2×350MW低热值煤发电工程间接空冷系统采购合同	67298600	67298600	
