公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
119349	上海海欣集团股份有限公司	海欣集团	2015-03-30	15.87	1000000	251000000	0.0529
1197188	上海科星创业投资有限公司	上海科星	2012-07-20	25	2500000	3960000	0.0324
1197188	华翘国际有限公司	华翘国际	2012-07-20	25	2600000	6900000	0.0565
1197962	广东粤文投资有限公司	广东粤文	2012-07-20	6.5	2646524	31092257	0.0461
119918	南通友谊实业有限公司	友谊实业	2015-03-30	12.02	8000000		
119918	南通友谊实业有限公司	友谊实业	2015-03-31	13.22	2770000	50674500	0.226
12046683	河南森源集团有限公司	森源集团	2016-05-06	124448705.73	6999899		
12046683	河南森源集团有限公司	森源集团	2016-05-09	52163629.86	2999912		
12047112	浙江省天地实业发展有限责任公司	天地实业	2016-05-19	6.11	20000000		
12047112	浙江省天地实业发展有限责任公司	天地实业	2016-08-05	8.65	6000000		
12047112	浙江省天地实业发展有限责任公司	天地实业	2016-08-16	11.78	1545200	90207800	0.05
12056580	浙江省二轻集团公司	二轻集团	2016-04-13	21.4	8000000		
12056580	浙江省二轻集团公司	二轻集团	2016-05-05	20.02	5000000		
12056580	浙江省二轻集团公司	二轻集团	2016-05-31	18.66	5000000		
12056580	浙江省二轻集团公司	二轻集团	2016-06-28	18.25	3000000		
12056580	浙江省二轻集团公司	二轻集团	2016-06-29	18.13	3000000		
12056580	浙江省二轻集团公司	二轻集团	2016-06-30	18.18	2500000		
12056580	浙江省二轻集团公司	二轻集团	2016-08-17	19.32	2000000	70585821	0.0492
1207978	深圳力合创业投资有限公司	力合创投	2009-11-23		3450856	28586622	0.0829
1223167	BROOKINVESTMENTLTD	BROOK	2011-03-23	24.89	1000000		
1223167	BROOKINVESTMENTLTD	BROOK	2011-05-11	20.13	2000000		
1223167	BROOKINVESTMENTLTD	BROOK	2011-05-17	19.39	2000000		
1223167	BROOKINVESTMENTLTD	BROOK	2011-05-20	19.28	2500000		
1223167	BROOKINVESTMENTLTD	BROOK	2011-05-26	18.47	2500000	136000000	0.1675
122428	南方工业资产管理有限责任公司	南方资产	2015-04-01	26.81	1868600	9944351	0.0499
1227269	上海领汇创业投资有限公司	上海领汇	2012-12-11	10.1	621800	6778200	0.0483
1228096	新疆奕飞股权投资有限公司	新疆奕飞	2012-10-10	9.43	1000000		
1228096	新疆奕飞股权投资有限公司	新疆奕飞	2012-10-30	8.98	3000000	12000000	0.0857
1232036	珠海市欧比特投资咨询有限公司	欧比特咨询	2011-06-21	10.627	385100		
1232036	珠海市欧比特投资咨询有限公司	欧比特咨询	2011-05-20	22.75	400000		
1232036	珠海市欧比特投资咨询有限公司	欧比特咨询	2011-06-22	9.1	1000000	23947900	0.1197
1234889	SAIFIIIMauritius(ChinaInvestments)Limited	SAIFIII	2012-09-11	16.91	1760000	20270500	0.1014
1234889	TQMInvestmentLimited	TQM	2012-09-11	16.91	440000	4345000	0.0217
1237585	华翘国际有限公司	华翘国际	2012-09-07	25	1000000	5900000	0.0483
1240266	济南凯特空调设备有限公司	济南凯特	2012-08-16	16.81	0.65	9880800	0.0494
1246538	北京科技风险投资股份有限公司	北京科技	2010-11-09	21.04	493600		
1246538	北京科技风险投资股份有限公司	北京科技	2010-11-19	21.08	1500000	12733220	0.125
1247808	上海昆吾九鼎投资发展中心(有限合伙)	上海昆吾	2012-08-09	28.73	2560000	9080000	0.0483
1249066	SAIFIIIMauritius(ChinaInvestments)Limited		2012-08-22	17.83	1600000	24750500	0.1238
1249066	TQMInvestmentLimited	TQM	2012-08-22	17.83	400000	5465000	0.0273
1261269	深圳市冠德成科技发展有限公司	冠德成公司	2011-03-07	12.39	3009786	42140214	0.162
1265466	深圳市创新资本投资有限公司	创新资本	2011-09-01	15.37	1893899	21566100	0.1348
1274433	石家庄永生集团股份有限公司	永生集团	2012-12-04	5.04	14850000	2999643	0.0101
1299014	安徽省人民政府国有资产监督管理委员会淮北矿业(集团)有限责任公司	集团公司	2011-07-07		41834021		
1299014	安徽省人民政府国有资产监督管理委员会淮北矿业(集团)有限责任公司	集团公司	2011-07-13		50262445		
1299014	安徽省人民政府国有资产监督管理委员会淮北矿业(集团)有限责任公司	集团公司	2011-07-14		50435485		
1299014	安徽省人民政府国有资产监督管理委员会淮北矿业(集团)有限责任公司	集团公司	2011-07-15		51272697		
1299014	安徽省人民政府国有资产监督管理委员会淮北矿业(集团)有限责任公司	集团公司	2011-07-18		51828046		
1299014	安徽省人民政府国有资产监督管理委员会淮北矿业(集团)有限责任公司	集团公司	2011-07-26		52128046	51828146	0.4
1319500	深圳东金新材料创业投资有限公司	深圳东金	2011-07-06	18.19	600000		
1319500	深圳东金新材料创业投资有限公司	深圳东金	2010-07-08	17.47	600000		
1319500	深圳东金新材料创业投资有限公司	深圳东金	2011-07-11	17.64	600000		
1319500	深圳东金新材料创业投资有限公司	深圳东金	2011-07-12	17.47	310000	22436415	0.1058
1320482	乌鲁木齐听音股权投资合伙企业(有限合伙)	听音	2012-06-12	7.79	495000		
1320482	乌鲁木齐听音股权投资合伙企业(有限合伙)	听音	2012-06-15	7.79	495000		
1320482	乌鲁木齐听音股权投资合伙企业(有限合伙)	听音	2012-06-26	7.4	995700	5957212	0.0595
1330393	PHILIPSELECTRONICSCHINAB.V.		2011-03-11	4.62	8000000		
1330393	PHILIPSELECTRONICSCHINAB.V.		2011-03-30	4.16	154860000		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2010-10-11	28.5	0.003		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2010-10-21	26.1	0.01		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2010-10-28	26.02	0.056		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2010-11-01	26.11	0.246		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2010-11-02	26.21	0.076		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2010-11-04	29.02	0.5		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-01-04	26.37	0.009		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-01-05	26.78	0.097		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-01-25	22.77	0.023		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-02-17	25.256	0.053		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-02-24	25.605	0.048		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-02-25	25.113	0.048		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-02-28	25.173	0.18		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-01	25.718	0.075		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-02	26.324	0.046		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-03	26.24	0.038		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-07	26.238	0.133		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-08	26.074	0.032		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-09	26.054	0.034		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-11	25.626	0.154		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-16	25.74	0.051		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-03-22	25.274	0.053		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-08-29	20.038	0.06		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-08-30	20.129	0.026		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-10-26	18.065	0.056		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-10-27	18.337	0.102		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-10-28	18.356	0.089		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-10-31	18.562	0.026		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2011-11-01	20.193	0.617		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2012-03-14	17.286	0.317		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2012-03-15	16.286	0.009		
1338798	北京瑞丰投资管理有限公司	北京瑞丰	2012-03-15	16.12	1.346	5200000.00	0.05
1363263	深圳市创新投资集团有限公司	创新投	2012-05-22	16.65	611851	4788149	0.0401
1363263	深圳市福田创新资本创业投资有限公司	创新投	2012-05-23	16.38	584149	4415851	0.037
1422409	中水汇金资产管理(北京)有限公司	中水汇金	2011-12-16	15.24	61800		
1422409	中水汇金资产管理(北京)有限公司	中水汇金	2012-02-14	13.28	8000000	793820000	0.0355
14256220	绵阳基金自公司	绵阳基金	2016-07-15	28.36	6476000		
14256220	绵阳基金自公司	绵阳基金	2016-08-29	33.86	23524000		
14318007	紫光股份有限公司	紫光股份	2016-08-30	15.79	781200	55218800	0.0499
14367	石河子网维投资普通合伙企业	网维投资	2014-05-23	17.24	907600	10957940	0.0595
14629944	上海科技创业投资有限公司	上海科创	2016-05-31	23.9	750000		
14629944	上海科技创业投资有限公司	上海科创	2016-06-30	25.43	1000000		
14629944	上海科技创业投资有限公司	上海科创	2016-08-29	23.6	1424054		
14629944	上海科技创业投资有限公司	上海科创	2016-09-02	22.96	825946	89144000	0.0865
14630536	大连承运投资集团有限公司	承运投资	2016-09-01	10.39	6000000		
14630536	大连承运投资集团有限公司	承运投资	2016-09-01	10.39	9000000		
14630536	大连承运投资集团有限公司	承运投资	2016-05-12	10.18	4000000		
14630536	大连承运投资集团有限公司	承运投资	2016-05-27	9.18	4000000		
14630536	大连承运投资集团有限公司	承运投资	2016-05-27	9.18	5400000		
14630536	大连承运投资集团有限公司	承运投资	2016-09-01	10.39	6000000		
14630536	大连承运投资集团有限公司	承运投资	2016-09-01	10.39	9000000	120112000	0.2194
14704323	石河子三和股权投资合伙企业(有限合伙)	石河子三和股权投资合伙企业	2016-09-09	18.71	4250000		
14704323	石河子三和股权投资合伙企业(有限合伙)	石河子三和股权投资合伙企业	2016-09-12	17.56	744599	161338700	0.3728
14767982	兴业全球基金—上海银行—龙岩市国有资产投资经营有限公司	龙岩国投	2016-09-22	13.55	6823502	86498633	0.0809
14780642	苏州文景九鼎投资中心(有限合伙)	苏州文景	2016-08-09	38.74	1500000		
14780642	苏州文景九鼎投资中心(有限合伙)	苏州文景	2016-08-10	37.41	1000000	1891200	0.0215
14780642	苏州嘉岳九鼎投资中心(有限合伙)	苏州嘉岳	2016-09-23	53.7	1900000	7100000	0.0807
14784652	奥克集团股份公司	奥克集团	2016-01-08	2.598	4000		
14784652	奥克集团股份公司	奥克集团	2016-01-11	866.1032	1406500		
14784652	奥克集团股份公司	奥克集团	2016-09-23	581.9032	763848		
14784652	奥克集团股份公司	奥克集团	2016-09-26	3428.9873	4549871		
14784652	奥克集团股份公司	奥克集团	2016-09-27	1108.6396	1488859		
14788254	科泰控股有限公司	科泰控股	2016-09-20	23.33	3000000		
14788254	科泰控股有限公司	科泰控股	2016-09-27	19.99	2000000	15848484	0.0495
14788254	新疆荣旭泰投资有限合伙企业	新疆荣旭泰	2016-09-19	22.95	1900000		
14788254	新疆荣旭泰投资有限合伙企业	新疆荣旭泰	2016-09-27	19.99	1000000	38564000	0.1205
14788254	汕头市盈动电气有限公司	盈动电气	2016-09-27	19.99	160000		
14788254	蔡行荣		2016-09-27	20.44	61875	185625	0.0006
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-19	13.67	4000000		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-19	13.67	2000000		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-19	13.67	6000000		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-08	13.38	2000000		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-09-07	13.07	2000000		
14809964	甘肃省国有资产投资集团有限公司	甘肃国投	2016-06-16	12.94	1200000	71817478	0.07
1483612	重庆科技风险投资有限公司	重庆风投	2011-07-18	23.98	136500		
1483612	重庆科技风险投资有限公司	重庆风投	2011-07-19	22.08	2000000	23867900	0.1304
15200887	湖南华夏投资集团有限公司	华夏集团	2014-12-31	8.28	1500000		
15200887	湖南华夏投资集团有限公司	华夏集团	2016-10-11	14.58	1000000		
15200887	湖南华夏投资集团有限公司	华夏集团	2016-10-19	15.26	1300000	21746469	0.0732
15335572	中通投资有限公司	中通投资	2016-10-24	10.76	4200000		
15335572	中通投资有限公司	中通投资	2016-10-25	10.7	4200000		
15335572	中通投资有限公司	中通投资	2016-10-26	10.47	4200000		
15335572	中通投资有限公司	中通投资	2016-10-27	10.28	4400000		
15335572	中通投资有限公司	中通投资	2016-10-28	10.22	4800000		
15335572	中通投资有限公司	中通投资	2016-10-31	10.1	4360000	109260044	0.2084
15342056	银江科技集团有限公司	银江科技集团	2016-10-28	17.78	5000000		
15342056	银江科技集团有限公司	银江科技集团	2016-11-01	17.68	5000000	159608600	0.2434
15348739	成都德同银科创业投资合伙企业	德同银科	2016-11-03	48.53	1500000	9600000	0.0647
15348739	成都同德投资有限合伙企业	同德投资	2016-11-03	48.53	500000	1300000	0.0088
15349469	浙江盾安人工环境股份有限公司	盾安环境	2016-09-22	11.36	3500000		
15349469	浙江盾安人工环境股份有限公司	盾安环境	2016-11-03	11.85	168800	30285745	0.0841
15369971	深圳市星期六投资控股有限公司	星期六控股	2016-11-09	13.02	5800000		
15369971	深圳市星期六投资控股有限公司	星期六控股	2016-11-09	13.02	2300000		
15369971	深圳市星期六投资控股有限公司	星期六控股	2016-11-09	13.02	1900000	116626010	0.2924
15396104	深圳市融信南方投资有限公司	融信南方	2016-11-10	9.29	10000000	115294059	0.1262
15456633	山东信托-恒赢30号集合资金信托计划	恒赢30号信托计划	2016-11-16		957000		
15456633	山东信托-恒赢31号集合资金信托计划	恒赢31号信托计划	2016-11-16		930300		
15468519	中国华融资产管理股份有限公司	中国华融	2016-09-30	10.1	1634498		
15468519	中国华融资产管理股份有限公司	中国华融	2016-11-18	10.57	3065435	51059013	0.1076
15468709	上海复星谱润股权投资企业(有限合伙)	复星谱润	2016-06-16	40.95	45000		
15468709	上海复星谱润股权投资企业(有限合伙)	复星谱润	2016-06-17	40.93	72001	22955900	0.1133
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-08	9206107.21	376500		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-09	26599072.42	1104069		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-10	15152543.78	623700		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-11	2451375	101500		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-15	6626262	287100		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-16	8402235.24	363100		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-17	2710323.09	117137		
15485598	华鑫信托•311号证券投资集合资金信托计划	信托计划	2016-11-18	9568146.61	416300		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-21	18168665.94	779400		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-22	17135100.7	728290		
15485598	华鑫信托•311号证券投资集合资金信托计划	华鑫信托计划	2016-11-23	13825634.56	579200	140994669	0.3302
15488762	万向创业投资股份有限公司	万向创投	2016-06-15	69.556	399750		
15488762	万向创业投资股份有限公司	万向创投	2016-06-16	75.418	350000		
15488762	万向创业投资股份有限公司	万向创投	2016-06-20	76.772	380000		
15488762	万向创业投资股份有限公司	万向创投	2016-06-29	74.685	170000		
15488762	万向创业投资股份有限公司	万向创投	2016-07-05	73.699	30000		
15488762	万向创业投资股份有限公司	万向创投	2016-07-07	75.522	250000	19970000	0.0614
15496787	浙江世宝控股集团有限公司	世宝控股	2016-11-28	41.3	11000000	139002612	0.4401
15523357	开山控股集团股份有限公司	开山控股	2016-12-05		150000		
15523357	开山控股集团股份有限公司	开山控股	2016-12-06		372600		
15523357	开山控股集团股份有限公司	开山控股	2016-12-07		225000		
15531412	烟台金业投资有限公司	金业投资	2016-12-08	14.72	2000000	31495680	0.0448
1554219	新疆甬金通达股权投资管理有限公司	新疆甬金通达	2015-03-13	11.95	29730000	52080000	0.0876
15568083	金岸有限公司	金岸公司	2016-12-14	26.18	500000		
15568083	金岸有限公司	金岸公司	2016-12-16	26.73	500000		
15568083	金岸有限公司	金岸公司	2016-12-21	26.6	500000	6240000.00	0.0582
1558559	冠联国际投资有限公司	冠联国际	2015-02-12	9.9	6000000	51960960	0.1476
15586712	天津泰达投资控股有限公司	天津泰达	2016-12-27	10.25	55290000	73982800	0.0134
15594262	天津泰达投资控股有限公司	天津泰达	2016-12-28	10.19	55290000	18692800	0.0034
15594746	中国-比利时直接股权投资基金	中比基金	2016-12-28	27.28	26724000	7646600	0.0143
15604040	君康人寿保险股份有限公司	君康人寿	2016-12-02	15	6000000		
15604040	君康人寿保险股份有限公司	君康人寿	2016-12-22	13.06	12636413		
15604040	君康人寿保险股份有限公司	君康人寿	2016-12-29	13.54	3709900	18591600	0.0417
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-10	19.76	3000000		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-11	20.16	3000000		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-12	20.04	3000000		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2015-06-15	20.83	3000000		
15604163	烟台开发区龙源电力燃烧控制工程有限公司	烟台燃控	2016-12-28	8.36	2318200	25660680	0.05
15611449	中车四方车辆有限公司		2016-12-26	14.21	1000000		
15611449	中车四方车辆有限公司		2016-12-28	14.27	2000000		
15611449	中车四方车辆有限公司		2016-12-29	14.11	3400000		
15611449	中车四方车辆有限公司		2016-12-30	14.04	3993400		
15611449	中车四方车辆有限公司		2017-01-03	14.14	35		
15612445	广州科技创业投资有限公司	广州科创	2016-12-27	22.74	200000		
15612445	广州科技创业投资有限公司	广州科创	2016-12-30	22.93	1500000	12947500	0.0663
15612476	云天化集团有限责任公司	云天化集团	2016-12-31	17.81	1202000	149654728	0.268
15617198	金航数码科技有限责任公司	金航数码	2016-08-30	41.56	36400		
15617198	金航数码科技有限责任公司	金航数码	2016-09-20	40.04	40000		
15617198	金航数码科技有限责任公司	金航数码	2016-09-21	40.23	28000		
15617198	金航数码科技有限责任公司	金航数码	2016-09-22	40.34	31000		
15617198	金航数码科技有限责任公司	金航数码	2016-12-27	38.57	2864600		
1561973	劲辉国际企业有限公司	劲辉国际	2015-02-06	21.2	1500000		
1561973	劲辉国际企业有限公司	劲辉国际	2015-02-09	21.32	1500000	110050000	0.5467
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-02	11.97	2300000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-03	13.17	932000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-04	12.99	1000000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-05	13.47	480000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-09	13.11	335000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-10	14.3	817000		
15635227	广东毅昌投资有限公司	毅昌投资	2015-06-12	15.78	260000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-18	8.97	800000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-25	8.73	300000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-26	8.51	500000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-04-27	8.81	1677400		
15635227	广东毅昌投资有限公司	毅昌投资	2016-05-03	8.69	500000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-05-04	9	1100000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-08	8.04	800000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-11	8.05	800000		
15635227	广东毅昌投资有限公司	毅昌投资	2016-07-12	8.01	886700		
